Year,SERIES,Podjela,Value
2023.0,Cestovni prijevoz,"Prevezena roba, hilj. tona",6.981
2013.0,Cestovni prijevoz,"Tonski kilometri, mil.",1.638
2014.0,Cestovni prijevoz,"Tonski kilometri, mil.",2.05
2015.0,Cestovni prijevoz,"Tonski kilometri, mil.",2.448
2016.0,Cestovni prijevoz,"Tonski kilometri, mil.",2.674
2017.0,Cestovni prijevoz,"Tonski kilometri, mil.",2.735
2018.0,Cestovni prijevoz,"Tonski kilometri, mil.",2.836
2019.0,Cestovni prijevoz,"Tonski kilometri, mil.",2.903
2020.0,Cestovni prijevoz,"Tonski kilometri, mil.",2.555
2021.0,Cestovni prijevoz,"Tonski kilometri, mil.",2.981
2022.0,Cestovni prijevoz,"Tonski kilometri, mil.",3.208
2023.0,Cestovni prijevoz,"Tonski kilometri, mil.",3.212
2013.0,Struktura prijevoza robe po vrstama prijevoza,Prijevoz željeznicom,66.2
2014.0,Struktura prijevoza robe po vrstama prijevoza,Prijevoz željeznicom,64.5
2015.0,Struktura prijevoza robe po vrstama prijevoza,Prijevoz željeznicom,60.2
2016.0,Struktura prijevoza robe po vrstama prijevoza,Prijevoz željeznicom,59.9
2017.0,Struktura prijevoza robe po vrstama prijevoza,Prijevoz željeznicom,58.8
2018.0,Struktura prijevoza robe po vrstama prijevoza,Prijevoz željeznicom,58.9
2019.0,Struktura prijevoza robe po vrstama prijevoza,Prijevoz željeznicom,58.6
2020.0,Struktura prijevoza robe po vrstama prijevoza,Prijevoz željeznicom,56.6
2021.0,Struktura prijevoza robe po vrstama prijevoza,Prijevoz željeznicom,56.8
2022.0,Struktura prijevoza robe po vrstama prijevoza,Prijevoz željeznicom,54.3
2023.0,Struktura prijevoza robe po vrstama prijevoza,Prijevoz željeznicom,50.0
2013.0,Struktura prijevoza robe po vrstama prijevoza,Cestovni prijevoz robe,33.8
2014.0,Struktura prijevoza robe po vrstama prijevoza,Cestovni prijevoz robe,35.5
2015.0,Struktura prijevoza robe po vrstama prijevoza,Cestovni prijevoz robe,39.8
2016.0,Struktura prijevoza robe po vrstama prijevoza,Cestovni prijevoz robe,40.1
2017.0,Struktura prijevoza robe po vrstama prijevoza,Cestovni prijevoz robe,41.2
2018.0,Struktura prijevoza robe po vrstama prijevoza,Cestovni prijevoz robe,41.1
2019.0,Struktura prijevoza robe po vrstama prijevoza,Cestovni prijevoz robe,41.4
2020.0,Struktura prijevoza robe po vrstama prijevoza,Cestovni prijevoz robe,56.6
2021.0,Struktura prijevoza robe po vrstama prijevoza,Cestovni prijevoz robe,56.8
2022.0,Struktura prijevoza robe po vrstama prijevoza,Cestovni prijevoz robe,54.3
2023.0,Struktura prijevoza robe po vrstama prijevoza,Cestovni prijevoz robe,50.0
,,,
,,,
