Year,SERIES,UNIT_MEASURE,Podjela,Value
2022,Broj filijala komercijalnih banaka na 100 000 odraslih,Broj,Banke sa sjedištem u Federaciji BiH,28.5
2013,Broj filijala komercijalnih banaka na 100 000 odraslih,Broj,Djelovi banaka iz RS u F BiH,1.5
2014,Broj filijala komercijalnih banaka na 100 000 odraslih,Broj,Djelovi banaka iz RS u F BiH,1.8
2015,Broj filijala komercijalnih banaka na 100 000 odraslih,Broj,Djelovi banaka iz RS u F BiH,2.0
2016,Broj filijala komercijalnih banaka na 100 000 odraslih,Broj,Djelovi banaka iz RS u F BiH,1.2
2017,Broj filijala komercijalnih banaka na 100 000 odraslih,Broj,Djelovi banaka iz RS u F BiH,1.2
2018,Broj filijala komercijalnih banaka na 100 000 odraslih,Broj,Djelovi banaka iz RS u F BiH,1.4
2019,Broj filijala komercijalnih banaka na 100 000 odraslih,Broj,Djelovi banaka iz RS u F BiH,1.5
2020,Broj filijala komercijalnih banaka na 100 000 odraslih,Broj,Djelovi banaka iz RS u F BiH,1.6
2021,Broj filijala komercijalnih banaka na 100 000 odraslih,Broj,Djelovi banaka iz RS u F BiH,1.6
2022,Broj filijala komercijalnih banaka na 100 000 odraslih,Broj,Djelovi banaka iz RS u F BiH,1.6
2013,Broj filijala komercijalnih banaka na 100 000 odraslih,Broj,Ukupno,34.4
2014,Broj filijala komercijalnih banaka na 100 000 odraslih,Broj,Ukupno,34.0
2015,Broj filijala komercijalnih banaka na 100 000 odraslih,Broj,Ukupno,33.2
2016,Broj filijala komercijalnih banaka na 100 000 odraslih,Broj,Ukupno,32.0
2017,Broj filijala komercijalnih banaka na 100 000 odraslih,Broj,Ukupno,32.0
2018,Broj filijala komercijalnih banaka na 100 000 odraslih,Broj,Ukupno,31.9
2019,Broj filijala komercijalnih banaka na 100 000 odraslih,Broj,Ukupno,31.1
2020,Broj filijala komercijalnih banaka na 100 000 odraslih,Broj,Ukupno,31.0
2021,Broj filijala komercijalnih banaka na 100 000 odraslih,Broj,Ukupno,31.0
2022,Broj filijala komercijalnih banaka na 100 000 odraslih,Broj,Ukupno,30.1
2013,Broj ogranaka komercijalnih banaka,Broj,Banke sa sjedištem u Federaciji BiH,580.0
2014,Broj ogranaka komercijalnih banaka,Broj,Banke sa sjedištem u Federaciji BiH,571.0
2015,Broj ogranaka komercijalnih banaka,Broj,Banke sa sjedištem u Federaciji BiH,557.0
2016,Broj ogranaka komercijalnih banaka,Broj,Banke sa sjedištem u Federaciji BiH,551.0
2017,Broj ogranaka komercijalnih banaka,Broj,Banke sa sjedištem u Federaciji BiH,553.0
2018,Broj ogranaka komercijalnih banaka,Broj,Banke sa sjedištem u Federaciji BiH,549.0
2019,Broj ogranaka komercijalnih banaka,Broj,Banke sa sjedištem u Federaciji BiH,533.0
2020,Broj ogranaka komercijalnih banaka,Broj,Banke sa sjedištem u Federaciji BiH,531.0
2021,Broj ogranaka komercijalnih banaka,Broj,Banke sa sjedištem u Federaciji BiH,527.0
2022,Broj ogranaka komercijalnih banaka,Broj,Banke sa sjedištem u Federaciji BiH,509.0
2013,Broj ogranaka komercijalnih banaka,Broj,Djelovi banaka iz RS u F BiH,27.0
2014,Broj ogranaka komercijalnih banaka,Broj,Djelovi banaka iz RS u F BiH,32.0
2015,Broj ogranaka komercijalnih banaka,Broj,Djelovi banaka iz RS u F BiH,36.0
2016,Broj ogranaka komercijalnih banaka,Broj,Djelovi banaka iz RS u F BiH,22.0
2017,Broj ogranaka komercijalnih banaka,Broj,Djelovi banaka iz RS u F BiH,22.0
2018,Broj ogranaka komercijalnih banaka,Broj,Djelovi banaka iz RS u F BiH,25.0
2019,Broj ogranaka komercijalnih banaka,Broj,Djelovi banaka iz RS u F BiH,27.0
2020,Broj ogranaka komercijalnih banaka,Broj,Djelovi banaka iz RS u F BiH,28.0
2021,Broj ogranaka komercijalnih banaka,Broj,Djelovi banaka iz RS u F BiH,28.0
2022,Broj ogranaka komercijalnih banaka,Broj,Djelovi banaka iz RS u F BiH,28.0
2013,Broj ogranaka komercijalnih banaka,Broj,Ukupno,607.0
2014,Broj ogranaka komercijalnih banaka,Broj,Ukupno,603.0
2015,Broj ogranaka komercijalnih banaka,Broj,Ukupno,593.0
2016,Broj ogranaka komercijalnih banaka,Broj,Ukupno,573.0
2017,Broj ogranaka komercijalnih banaka,Broj,Ukupno,575.0
2018,Broj ogranaka komercijalnih banaka,Broj,Ukupno,574.0
2019,Broj ogranaka komercijalnih banaka,Broj,Ukupno,560.0
2020,Broj ogranaka komercijalnih banaka,Broj,Ukupno,559.0
2021,Broj ogranaka komercijalnih banaka,Broj,Ukupno,555.0
2022,Broj ogranaka komercijalnih banaka,Broj,Ukupno,537.0
