Year,SERIES,UNIT_MEASURE,SORT,Value
2017,FB_CBK_TOT,Број,BANKS_RS_FBIH,22.0
2018,FB_CBK_TOT,Број,BANKS_RS_FBIH,25.0
2019,FB_CBK_TOT,Број,BANKS_RS_FBIH,27.0
2020,FB_CBK_TOT,Број,BANKS_RS_FBIH,28.0
2021,FB_CBK_TOT,Број,BANKS_RS_FBIH,28.0
2022,FB_CBK_TOT,Број,BANKS_RS_FBIH,28.0
2013,FB_CBK_TOT,Број,_T,607.0
2014,FB_CBK_TOT,Број,_T,603.0
2015,FB_CBK_TOT,Број,_T,593.0
2016,FB_CBK_TOT,Број,_T,573.0
2017,FB_CBK_TOT,Број,_T,575.0
2018,FB_CBK_TOT,Број,_T,574.0
2019,FB_CBK_TOT,Број,_T,560.0
2020,FB_CBK_TOT,Број,_T,559.0
2021,FB_CBK_TOT,Број,_T,555.0
2022,FB_CBK_TOT,Број,_T,537.0
